Network Hamming	Network BER	Network #messages	Network #slaves	Request Payload size (ecc):	Response fail %	Response Payload size (ecc):	Master fault with updates #messages:	Device-to-Device Response #trasmission:	Master #messages:	Device-to-Device fault:	Device-to-Device success:	Master fault with no update #messages:	Request Payload size (no-ecc):	Request success %:	Response Packet size	Device-to-Device retrasmission:	Response Packet Block count:	Request Packet size	Response Header size	Master average path:	Request Packet Block count:	Response success %:	Request Header size	Response Payload size (no-ecc):	Master average Update Link:	Device-to-Device #trasmission:	Request recoverable %	Device-to-Device Request  #trasmission:	Request fail %	Response recoverable %
1.0	0.010000000298023226	5.0	5.0	103.0	98.30191794502521	456.0	0.0	10.0	5.0	0.0	20.0	0.0	59.0	8.353972346158578	600.0	3.0	66.0	247.0	144.0	2.0	15.0	0.24050088569180866	144.0	260.0	17.0	20.0	20.842739713306788	10.0	70.80328794053463	1.4575811692829848
1.0	0.010000000298023226	50.0	5.0	108.0	98.57138805687904	476.0	0.0	87.0	50.0	3.0	178.0	1.0	62.0	7.9445445663786955	620.0	44.0	69.0	252.0	144.0	1.0	16.0	0.19670734172129886	144.0	272.0	162.0	181.0	20.22247768681929	94.0	71.83297774680202	1.231904601399667
1.0	0.010000000298023226	500.0	5.0	98.0	97.0400585935636	391.0	0.0	783.0	500.0	13.0	1578.0	1.0	56.0	8.784500279063021	535.0	294.0	56.0	242.0	144.0	1.0	15.0	0.4621990406835183	144.0	223.0	1245.0	1591.0	21.473223550792355	808.0	69.74227617014462	2.497742365752873
1.0	0.010000000298023226	5000.0	5.0	98.0	97.43803524567922	408.0	14.0	7804.0	5000.0	144.0	15686.0	4.0	56.0	8.784500279063021	552.0	3020.0	59.0	242.0	144.0	1.0	15.0	0.38960753333890874	144.0	233.0	13346.0	15830.0	21.473223550792355	8026.0	69.74227617014462	2.1723572209818838
1.0	0.010000000298023226	50000.0	5.0	98.0	97.9307225747213	433.0	132.0	77733.0	50000.0	1513.0	156205.0	33.0	56.0	8.784500279063021	577.0	31183.0	62.0	242.0	144.0	1.0	15.0	0.3030450589331504	144.0	247.0	150191.0	157718.0	21.473223550792355	79985.0	69.74227617014462	1.7662323663455586
0.0	0.010000000298023226	5.0	5.0	7.0	19.83694157699427	22.0	0.0	6.0	5.0	3.0	11.0	1.0	7.0	93.20653459429097	22.0	14.0	2.0	7.0	144.0	1.0	2.0	80.16305842300572	144.0	22.0	5.0	14.0	0.0	8.0	6.793465405709033	0.0
0.0	0.010000000298023226	50.0	5.0	7.0	26.029963329195766	30.0	0.0	57.0	50.0	18.0	117.0	5.0	7.0	93.20653459429097	30.0	116.0	2.0	7.0	144.0	1.0	2.0	73.97003667080423	144.0	30.0	97.0	135.0	0.0	78.0	6.793465405709033	0.0
0.0	0.010000000298023226	500.0	5.0	7.0	19.83694157699427	22.0	7.0	552.0	500.0	181.0	1142.0	48.0	7.0	93.20653459429097	22.0	1194.0	2.0	7.0	144.0	1.0	2.0	80.16305842300572	144.0	22.0	622.0	1323.0	0.0	771.0	6.793465405709033	0.0
0.0	0.010000000298023226	5000.0	5.0	7.0	19.83694157699427	22.0	72.0	5616.0	5000.0	1764.0	11523.0	451.0	7.0	93.20653459429097	22.0	11688.0	2.0	7.0	144.0	1.0	2.0	80.16305842300572	144.0	22.0	6448.0	13287.0	0.0	7671.0	6.793465405709033	0.0
0.0	0.010000000298023226	50000.0	5.0	7.0	21.432186486915178	24.0	654.0	56381.0	50000.0	17260.0	115674.0	4388.0	7.0	93.20653459429097	24.0	115726.0	2.0	7.0	144.0	1.0	2.0	78.56781351308483	144.0	24.0	71769.0	132934.0	0.0	76553.0	6.793465405709033	0.0
1.0	0.0010000000447034842	5.0	5.0	98.0	3.641511737026737	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	78.49611196329926	298.0	0.0	23.0	242.0	144.0	1.0	15.0	74.21906614109562	144.0	88.0	2.0	16.0	19.015075020178664	8.0	2.4888130165220845	22.139422121877637
1.0	0.0010000000447034842	50.0	5.0	103.0	4.094052319220687	174.0	0.0	86.0	50.0	0.0	172.0	0.0	59.0	78.10441556255851	318.0	0.0	25.0	247.0	144.0	1.0	15.0	72.74870212444117	144.0	99.0	37.0	172.0	19.31110260983532	86.0	2.5844818276061665	23.15724555633814
1.0	0.0010000000447034842	500.0	5.0	107.0	4.542402349721075	193.0	0.0	899.0	500.0	0.0	1798.0	0.0	61.0	77.7924662005378	337.0	0.0	28.0	251.0	144.0	1.0	16.0	71.37884653909029	144.0	110.0	505.0	1798.0	19.545455345430334	899.0	2.6620784540318687	24.07875111118864
1.0	0.0010000000447034842	5000.0	5.0	99.0	5.082879838686738	215.0	0.0	8183.0	5000.0	0.0	16366.0	0.0	56.0	78.41761584782691	359.0	10.0	31.0	243.0	144.0	1.0	15.0	69.82489095687919	144.0	123.0	6514.0	16366.0	19.074556059780797	8183.0	2.5078280923922946	25.09222920443408
1.0	0.0010000000447034842	50000.0	5.0	98.0	4.140416403864777	176.0	0.0	80531.0	50000.0	0.0	161062.0	0.0	56.0	78.49611196329926	320.0	82.0	26.0	242.0	144.0	1.0	15.0	72.60327746239668	144.0	100.0	45318.0	161062.0	19.015075020178664	80531.0	2.4888130165220845	23.25630613373854
0.0	0.0010000000447034842	5.0	5.0	7.0	1.8829965969807212	19.0	0.0	9.0	5.0	0.0	18.0	0.0	7.0	99.30209647239276	19.0	1.0	2.0	7.0	144.0	1.0	2.0	98.11700340301928	144.0	19.0	8.0	18.0	0.0	9.0	0.6979035276072368	0.0
0.0	0.0010000000447034842	50.0	5.0	7.0	1.489545429922287	15.0	0.0	91.0	50.0	0.0	182.0	0.0	7.0	99.30209647239276	15.0	4.0	2.0	7.0	144.0	1.0	2.0	98.51045457007771	144.0	15.0	54.0	182.0	0.0	91.0	0.6979035276072368	0.0
0.0	0.0010000000447034842	500.0	5.0	7.0	1.588055888896121	16.0	0.0	807.0	500.0	1.0	1615.0	0.0	7.0	99.30209647239276	16.0	28.0	2.0	7.0	144.0	1.0	2.0	98.41194411110388	144.0	16.0	688.0	1616.0	0.0	809.0	0.6979035276072368	0.0
0.0	0.0010000000447034842	5000.0	5.0	7.0	1.2922285860494624	13.0	0.0	8008.0	5000.0	1.0	16017.0	0.0	7.0	99.30209647239276	13.0	262.0	2.0	7.0	144.0	1.0	2.0	98.70777141395054	144.0	13.0	4995.0	16018.0	0.0	8010.0	0.6979035276072368	0.0
0.0	0.0010000000447034842	50000.0	5.0	7.0	1.2922285860494624	13.0	0.0	79959.0	50000.0	25.0	159943.0	0.0	7.0	99.30209647239276	13.0	2522.0	2.0	7.0	144.0	1.0	2.0	98.70777141395054	144.0	13.0	48375.0	159968.0	0.0	80009.0	0.6979035276072368	0.0
1.0	1.000000059604646E-4	5.0	5.0	98.0	0.04338933107300713	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	97.6089289584791	298.0	0.0	23.0	242.0	144.0	1.0	15.0	97.06381939927776	144.0	88.0	2.0	16.0	2.362372458849445	8.0	0.028698582671449202	2.8927912696492317
1.0	1.000000059604646E-4	50.0	5.0	100.0	0.03385932659912827	119.0	0.0	89.0	50.0	0.0	178.0	0.0	57.0	97.58940814761323	263.0	0.0	18.0	244.0	144.0	1.0	15.0	97.40415504446239	144.0	68.0	14.0	178.0	2.381419842729714	89.0	0.029172009657052467	2.5619856289384915
1.0	1.000000059604646E-4	500.0	5.0	108.0	0.034889810673666144	123.0	0.0	966.0	500.0	0.0	1932.0	0.0	61.0	97.51136393601493	267.0	0.0	18.0	252.0	144.0	1.0	16.0	97.3651992239827	144.0	70.0	208.0	1932.0	2.457532270894998	966.0	0.031103793090070386	2.599910965343636
1.0	1.000000059604646E-4	5000.0	5.0	98.0	0.0328440203504865	115.0	0.0	8165.0	5000.0	0.0	16330.0	0.0	56.0	97.6089289584791	259.0	0.0	17.0	242.0	144.0	1.0	15.0	97.44312645116754	144.0	66.0	2215.0	16330.0	2.362372458849445	8165.0	0.028698582671449202	2.5240295284819654
1.0	1.000000059604646E-4	50000.0	5.0	104.0	0.049353621063741304	174.0	0.0	85979.0	50000.0	0.0	171958.0	0.0	59.0	97.5503782370023	318.0	2.0	25.0	248.0	144.0	1.0	15.0	96.86987605958142	144.0	99.0	46094.0	171958.0	2.419491473637945	85979.0	0.030130289359742157	3.080770319354838
0.0	1.000000059604646E-4	5.0	5.0	7.0	0.10994502304664769	11.0	0.0	8.0	5.0	0.0	16.0	0.0	7.0	99.93002099233054	11.0	0.0	2.0	7.0	144.0	1.0	2.0	99.89005497695335	144.0	11.0	2.0	16.0	0.0	8.0	0.06997900766946705	0.0
0.0	1.000000059604646E-4	50.0	5.0	7.0	0.08996401375885785	9.0	0.0	94.0	50.0	0.0	188.0	0.0	7.0	99.93002099233054	9.0	0.0	2.0	7.0	144.0	1.0	2.0	99.91003598624114	144.0	9.0	18.0	188.0	0.0	94.0	0.06997900766946705	0.0
0.0	1.000000059604646E-4	500.0	5.0	7.0	0.09995501795299179	10.0	0.0	825.0	500.0	0.0	1650.0	0.0	7.0	99.93002099233054	10.0	1.0	2.0	7.0	144.0	1.0	2.0	99.900044982047	144.0	10.0	348.0	1650.0	0.0	825.0	0.06997900766946705	0.0
0.0	1.000000059604646E-4	5000.0	5.0	7.0	0.10994502304664769	11.0	0.0	8014.0	5000.0	0.0	16028.0	0.0	7.0	99.93002099233054	11.0	14.0	2.0	7.0	144.0	1.0	2.0	99.89005497695335	144.0	11.0	4276.0	16028.0	0.0	8014.0	0.06997900766946705	0.0
0.0	1.000000059604646E-4	50000.0	5.0	7.0	0.07997201036432812	8.0	0.0	80097.0	50000.0	0.0	160194.0	0.0	7.0	99.93002099233054	8.0	182.0	2.0	7.0	144.0	1.0	2.0	99.92002798963567	144.0	8.0	23427.0	160194.0	0.0	80097.0	0.06997900766946705	0.0
1.0	1.000000074505808E-5	5.0	5.0	98.0	4.4165777093319036E-4	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	99.75829135886507	298.0	0.0	23.0	242.0	144.0	1.0	15.0	99.70244207155623	144.0	88.0	2.0	16.0	0.2414174972504303	8.0	2.911438845121239E-4	0.29711627067283053
1.0	1.000000074505808E-5	50.0	5.0	98.0	2.449505431156851E-4	78.0	0.0	80.0	50.0	0.0	160.0	0.0	56.0	99.75829135886507	222.0	0.0	12.0	242.0	144.0	1.0	15.0	99.77824511370133	144.0	44.0	2.0	160.0	0.2414174972504303	80.0	2.911438845121239E-4	0.22150993575555003
1.0	1.000000074505808E-5	500.0	5.0	108.0	3.598190735365492E-4	125.0	0.0	947.0	500.0	0.0	1894.0	0.0	61.0	99.74831597788632	269.0	0.0	18.0	252.0	144.0	1.0	16.0	99.7313601194162	144.0	71.0	155.0	1894.0	0.2513682886755564	947.0	3.1573343812763E-4	0.26828006151026595
1.0	1.000000074505808E-5	5000.0	5.0	104.0	2.9598218650450647E-4	100.0	0.0	8613.0	5000.0	0.0	17226.0	0.0	59.0	99.75230601057304	244.0	0.0	15.0	248.0	144.0	1.0	15.0	99.75629620286506	144.0	57.0	1361.0	17226.0	0.24738821122019056	8613.0	3.0577820677724077E-4	0.24340781494843483
1.0	1.000000074505808E-5	50000.0	5.0	99.0	4.4165777093319036E-4	154.0	0.0	81126.0	50000.0	0.0	162252.0	0.0	56.0	99.75729377587714	298.0	0.0	23.0	243.0	144.0	1.0	15.0	99.70244207155623	144.0	88.0	39889.0	162252.0	0.24241266606319234	81126.0	2.935580596608034E-4	0.29711627067283053
0.0	1.000000074505808E-5	5.0	5.0	7.0	0.010999450835970552	11.0	0.0	8.0	5.0	0.0	16.0	0.0	7.0	99.993000209475	11.0	0.0	2.0	7.0	144.0	1.0	2.0	99.98900054916403	144.0	11.0	2.0	16.0	0.0	8.0	0.006999790525000905	0.0
0.0	1.000000074505808E-5	50.0	5.0	7.0	0.004999900373497989	5.0	0.0	80.0	50.0	0.0	160.0	0.0	7.0	99.993000209475	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9950000996265	144.0	5.0	2.0	160.0	0.0	80.0	0.006999790525000905	0.0
0.0	1.000000074505808E-5	500.0	5.0	7.0	0.005999850449005695	6.0	0.0	830.0	500.0	0.0	1660.0	0.0	7.0	99.993000209475	6.0	1.0	2.0	7.0	144.0	1.0	2.0	99.994000149551	144.0	6.0	36.0	1660.0	0.0	830.0	0.006999790525000905	0.0
0.0	1.000000074505808E-5	5000.0	5.0	7.0	0.008999640678887703	9.0	0.0	8638.0	5000.0	0.0	17276.0	0.0	7.0	99.993000209475	9.0	3.0	2.0	7.0	144.0	1.0	2.0	99.99100035932112	144.0	9.0	2349.0	17276.0	0.0	8638.0	0.006999790525000905	0.0
0.0	1.000000074505808E-5	50000.0	5.0	7.0	0.009999550756979555	10.0	0.0	80725.0	50000.0	0.0	161450.0	0.0	7.0	99.993000209475	10.0	16.0	2.0	7.0	144.0	1.0	2.0	99.99000044924303	144.0	10.0	38876.0	161450.0	0.0	80725.0	0.006999790525000905	0.0
1.0	1.0000000894069703E-6	5.0	5.0	98.0	4.424427468840975E-6	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	99.97580291370373	298.0	0.0	23.0	242.0	144.0	1.0	15.0	99.97020442220003	144.0	88.0	2.0	16.0	0.024194170662414267	8.0	2.9156338565705653E-6	0.029791153372505506
1.0	1.0000000894069703E-6	50.0	5.0	98.0	2.4527405773078215E-6	78.0	0.0	80.0	50.0	0.0	160.0	0.0	56.0	99.97580291370373	222.0	0.0	12.0	242.0	144.0	1.0	15.0	99.97780245093583	144.0	44.0	2.0	160.0	0.024194170662414267	80.0	2.9156338565705653E-6	0.02219509632360022
1.0	1.0000000894069703E-6	500.0	5.0	98.0	2.278778221675992E-6	70.0	0.0	800.0	500.0	0.0	1600.0	0.0	56.0	99.97580291370373	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.97860227702616	144.0	40.0	2.0	1600.0	0.024194170662414267	800.0	2.9156338565705653E-6	0.021395444195629467
1.0	1.0000000894069703E-6	5000.0	5.0	98.0	2.278778221675992E-6	70.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	56.0	99.97580291370373	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.97860227702616	144.0	40.0	3.0	16000.0	0.024194170662414267	8000.0	2.9156338565705653E-6	0.021395444195629467
1.0	1.0000000894069703E-6	50000.0	5.0	109.0	3.3405280652765157E-6	115.0	0.0	94054.0	50000.0	0.0	188108.0	0.0	62.0	99.97470318527202	259.0	0.0	17.0	253.0	144.0	1.0	16.0	99.97410333849889	144.0	66.0	11376.0	188108.0	0.025293627460927677	94054.0	3.18726705028638E-6	0.02589332097303536
0.0	1.0000000894069703E-6	5.0	5.0	7.0	0.0010999945983623486	11.0	0.0	8.0	5.0	0.0	16.0	0.0	7.0	99.99930000203742	11.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99890000540164	144.0	11.0	2.0	16.0	0.0	8.0	6.999979625814792E-4	0.0
0.0	1.0000000894069703E-6	50.0	5.0	7.0	4.999990447062103E-4	5.0	0.0	80.0	50.0	0.0	160.0	0.0	7.0	99.99930000203742	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9995000009553	144.0	5.0	2.0	160.0	0.0	80.0	6.999979625814792E-4	0.0
0.0	1.0000000894069703E-6	500.0	5.0	7.0	4.999990447062103E-4	5.0	0.0	800.0	500.0	0.0	1600.0	0.0	7.0	99.99930000203742	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9995000009553	144.0	5.0	3.0	1600.0	0.0	800.0	6.999979625814792E-4	0.0
0.0	1.0000000894069703E-6	5000.0	5.0	7.0	5.999985536386676E-4	6.0	0.0	8233.0	5000.0	0.0	16466.0	0.0	7.0	99.99930000203742	6.0	1.0	2.0	7.0	144.0	1.0	2.0	99.99940000144636	144.0	6.0	659.0	16466.0	0.0	8233.0	6.999979625814792E-4	0.0
0.0	1.0000000894069703E-6	50000.0	5.0	7.0	6.999979625814792E-4	7.0	0.0	81006.0	50000.0	0.0	162012.0	0.0	7.0	99.99930000203742	7.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99930000203742	144.0	7.0	18898.0	162012.0	0.0	81006.0	6.999979625814792E-4	0.0
1.0	1.0000001043081328E-7	5.0	5.0	98.0	4.4250691999536684E-8	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	99.99758002890951	298.0	0.0	23.0	242.0	144.0	1.0	15.0	99.99702004394318	144.0	88.0	2.0	16.0	0.0024199419311134013	8.0	2.91593749146557E-8	0.0029799118061296912
1.0	1.0000001043081328E-7	50.0	5.0	98.0	2.4529578368515104E-8	78.0	0.0	80.0	50.0	0.0	160.0	0.0	56.0	99.99758002890951	222.0	0.0	12.0	242.0	144.0	1.0	15.0	99.99778002430033	144.0	44.0	2.0	160.0	0.0024199419311134013	80.0	2.91593749146557E-8	0.0022199511700935217
1.0	1.0000001043081328E-7	500.0	5.0	98.0	2.2789647946552805E-8	70.0	0.0	800.0	500.0	0.0	1600.0	0.0	56.0	99.99758002890951	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.99786002256866	144.0	40.0	2.0	1600.0	0.0024199419311134013	800.0	2.91593749146557E-8	0.002139954641693083
1.0	1.0000001043081328E-7	5000.0	5.0	98.0	2.2789647946552805E-8	70.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	56.0	99.99758002890951	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.99786002256866	144.0	40.0	2.0	16000.0	0.0024199419311134013	8000.0	2.91593749146557E-8	0.002139954641693083
